circular	auto	sex	NCBI	UCSC	Ensembl
FALSE	TRUE	FALSE	NW_020824091.1	picr_880	picr_880
FALSE	TRUE	FALSE	NW_020824092.1	picr_881	picr_881
FALSE	TRUE	FALSE	NW_020824093.1	picr_882	picr_882
FALSE	TRUE	FALSE	NW_020824094.1	picr_883	picr_883
FALSE	TRUE	FALSE	NW_020824095.1	picr_884	picr_884
FALSE	TRUE	FALSE	NW_020824096.1	picr_885	picr_885
FALSE	TRUE	FALSE	NW_020824097.1	picr_886	picr_886
FALSE	TRUE	FALSE	NW_020824098.1	picr_887	picr_887
FALSE	TRUE	FALSE	NW_020824099.1	picr_888	picr_888
FALSE	TRUE	FALSE	NW_020824100.1	picr_889	picr_889
FALSE	TRUE	FALSE	NW_020824101.1	picr_890	picr_890
FALSE	TRUE	FALSE	NW_020824102.1	picr_891	picr_891
FALSE	TRUE	FALSE	NW_020824103.1	picr_892	picr_892
FALSE	TRUE	FALSE	NW_020824104.1	picr_893	picr_893
FALSE	TRUE	FALSE	NW_020824105.1	picr_894	picr_894
FALSE	TRUE	FALSE	NW_020824106.1	picr_896	picr_896
FALSE	TRUE	FALSE	NW_020824107.1	picr_897	picr_897
FALSE	TRUE	FALSE	NW_020824108.1	picr_898	picr_898
FALSE	TRUE	FALSE	NW_020824109.1	picr_899	picr_899
FALSE	TRUE	FALSE	NW_020824110.1	picr_900	picr_900
FALSE	TRUE	FALSE	NW_020824111.1	picr_901	picr_901
FALSE	TRUE	FALSE	NW_020824112.1	picr_902	picr_902
FALSE	TRUE	FALSE	NW_020824113.1	picr_903	picr_903
FALSE	TRUE	FALSE	NW_020824114.1	picr_904	picr_904
FALSE	TRUE	FALSE	NW_020824115.1	picr_905	picr_905
FALSE	TRUE	FALSE	NW_020824116.1	picr_906	picr_906
FALSE	TRUE	FALSE	NW_020824117.1	picr_907	picr_907
FALSE	TRUE	FALSE	NW_020824118.1	picr_908	picr_908
FALSE	TRUE	FALSE	NW_020824119.1	picr_910	picr_910
FALSE	TRUE	FALSE	NW_020824120.1	picr_911	picr_911
FALSE	TRUE	FALSE	NW_020824121.1	picr_912	picr_912
FALSE	TRUE	FALSE	NW_020824122.1	picr_913	picr_913
